date,AAPL,AMD,AMZN,ASML,AVGO,BA,BAC,COST,CRM,CVX,GOOGL,INTC,JPM,LMT,META,MSFT,MU,NKE,NVDA,ORCL,QCOM,TSLA,TSM,WMT,XOM
2025-01-02,242.30191040039062,120.62999725341797,220.22000122070312,691.3662719726562,229.0587158203125,171.8699951171875,42.82160186767578,902.542724609375,326.8521728515625,137.59176635742188,188.44570922851562,20.219999313354492,232.77809143066406,462.9548645019531,596.292724609375,413.6726379394531,87.00817108154297,70.87034606933594,138.1037139892578,163.3908233642578,148.76792907714844,379.2799987792969,197.87770080566406,88.7946548461914,102.13241577148438
2025-01-03,241.81500244140625,125.37000274658203,224.19000244140625,705.1260986328125,229.62158203125,169.89999389648438,43.32436752319336,909.2586059570312,329.06634521484375,138.66091918945312,190.79344177246094,20.559999465942383,235.95938110351562,462.5420837402344,601.6561889648438,418.3866882324219,89.53882598876953,70.52403259277344,144.25453186035156,163.67620849609375,152.82505798339844,410.44000244140625,204.778564453125,89.56420135498047,102.6558837890625
2025-01-06,243.4446258544922,129.5500030517578,227.61000061035156,758.5762329101562,233.4329376220703,170.77999877929688,43.89480209350586,915.339599609375,326.72369384765625,138.10757446289062,195.8470458984375,19.8700008392334,234.8090057373047,447.3550720214844,627.1004638671875,422.8339538574219,98.89421081542969,69.2638168334961,149.2071533203125,163.0561981201172,154.78103637695312,411.04998779296875,215.9691925048828,90.20549774169922,102.54166412353516
2025-01-07,240.67234802246094,127.33000183105469,222.11000061035156,747.7875366210938,225.7607879638672,172.50999450683594,44.55226135253906,914.0104370117188,321.1881408691406,140.2927703857422,194.4742431640625,20.010000228881836,237.07080078125,445.3966979980469,614.8510131835938,417.4181823730469,101.5344467163086,69.35039520263672,139.93099975585938,159.45437622070312,155.42977905273438,394.3599853515625,207.53697204589844,89.59379577636719,103.5029296875
2025-01-08,241.15921020507812,121.83999633789062,222.1300048828125,734.36328125,226.42236328125,171.75999450683594,44.67795181274414,919.96240234375,323.1354675292969,140.95863342285156,192.94224548339844,19.8799991607666,237.0318145751953,450.091064453125,607.7161254882812,419.5824890136719,99.04367065429688,68.58079528808594,139.90106201171875,160.54673767089844,154.03543090820312,394.94000244140625,203.31593322753906,90.57054138183594,101.77075958251953
2025-01-10,235.34637451171875,116.04000091552734,218.94000244140625,729.4575805664062,221.4853057861328,172,43.61441421508789,929.4559936523438,314.1897277832031,143.62213134765625,191.04214477539062,19.149999618530273,233.8535614013672,449.3230285644531,612.8308715820312,414.0382995605469,98.97390747070312,68.49420928955078,135.7073211669922,152.4178009033203,152.00201416015625,394.739990234375,204.54299926757812,91.75447082519531,101.39956665039062
2025-01-13,232.9119110107422,117.31999969482422,218.4600067138672,718.0074462890625,222.45297241210938,170.57000732421875,43.566070556640625,917.3138427734375,315.3956298828125,145.6947784423828,190.0175018310547,19.200000762939453,238.084716796875,463.8284606933594,605.3379516601562,412.2989196777344,94.70968627929688,69.34078979492188,133.0313262939453,151.84561157226562,152.14727783203125,403.30999755859375,197.66172790527344,90.30415344238281,104.01688385009766
2025-01-14,231.7990264892578,116.08999633789062,217.75999450683594,726.7726440429688,221.8704071044922,167.02000427246094,44.262203216552734,909.9033813476562,319.8141784667969,147.1484375,188.67449951171875,19.200000762939453,241.26296997070312,465.07647705078125,591.3272094726562,410.7967529296875,97.001220703125,68.4653549194336,131.56349182128906,154.20339965820312,154.47117614746094,396.3599853515625,197.7500762939453,89.57406616210938,104.42613220214844
2025-01-15,236.35987854003906,119.95999908447266,223.35000610351562,716.9117431640625,225.1288604736328,166.1999969482422,45.53843307495117,916.1233520507812,317.4615478515625,148.4895782470703,194.5338897705078,19.719999313354492,246.0205535888672,464.6060791015625,614.084716796875,421.3119812011719,102.80973052978516,68.36915588378906,136.03683471679688,156.1764373779297,159.1964111328125,428.2200012207031,203.00181579589844,90.11669921875,106.12977600097656
2025-01-16,226.8108673095703,118.44000244140625,220.66000366210938,740.5818481445312,226.5211181640625,168.92999267578125,45.09368896484375,912.4033203125,316.3149108886719,149.47430419921875,191.9076385498047,19.670000076293945,247.8924102783203,467.3804626464844,608.2933959960938,419.60223388671875,102.2219009399414,68.40763854980469,133.37081909179688,157.38986206054688,156.31089782714844,413.82000732421875,210.84506225585938,90.0772476196289,105.94894409179688
